,next_victim_is_yellow,condition_within_Ss,next_victim_triaged_distance,sat_tendency,remain_yellow_victim,time_elapsed_minutes,cur_room_yellow_victims,cur_room_green_victims,next_room_has_yellow_victim,condition_between_Ss,trial_id
0,True,hard mission Falcon,58.85968696592742,5.2,11.0,-2.1455166666666665,0.0,0.0,False,untrained,trial_id_000012
1,True,hard mission Falcon,55.190533062726956,5.2,11.0,-2.1421,0.0,0.0,False,untrained,trial_id_000012
2,True,hard mission Falcon,51.385639542640405,5.2,11.0,-2.1385,0.0,0.0,False,untrained,trial_id_000012
3,True,hard mission Falcon,46.51640922134253,5.2,11.0,-2.135083333333333,0.0,0.0,False,untrained,trial_id_000012
4,True,hard mission Falcon,40.709453415109955,5.2,11.0,-2.1299333333333332,0.0,0.0,False,untrained,trial_id_000012
5,True,hard mission Falcon,34.45076760134969,5.2,11.0,-2.123066666666667,0.0,0.0,False,untrained,trial_id_000012
6,True,hard mission Falcon,33.74658227966683,5.2,11.0,-1.7473166666666666,0.0,0.0,False,untrained,trial_id_000012
7,True,hard mission Falcon,27.504545078950134,5.2,11.0,0.0017166666666666667,0.0,0.0,True,untrained,trial_id_000012
8,True,hard mission Falcon,18.29582006145671,5.2,11.0,0.06835,1.0,0.0,False,untrained,trial_id_000012
9,True,hard mission Falcon,15.091382380902347,5.2,11.0,0.11271666666666667,0.0,0.0,False,untrained,trial_id_000012
10,True,hard mission Falcon,9.764362706711044,5.2,11.0,0.13655,0.0,0.0,False,untrained,trial_id_000012
11,True,hard mission Falcon,6.132241627024638,5.2,11.0,0.18763333333333335,2.0,1.0,False,untrained,trial_id_000012
12,True,hard mission Falcon,2.9049853955157356,5.2,10.0,0.5008666666666667,2.0,1.0,False,untrained,trial_id_000012
13,True,hard mission Falcon,1.5975031149276573,5.2,9.0,1.0646333333333333,2.0,1.0,False,untrained,trial_id_000012
14,True,hard mission Falcon,15.901688593236718,5.2,9.0,1.1617666666666666,0.0,0.0,True,untrained,trial_id_000012
15,True,hard mission Falcon,6.7239769293689795,5.2,9.0,1.2505,1.0,1.0,False,untrained,trial_id_000012
16,True,hard mission Falcon,0.7365329222802496,5.2,8.0,1.5631166666666667,1.0,1.0,False,untrained,trial_id_000012
17,True,hard mission Falcon,44.77234860889972,5.2,8.0,1.6466,0.0,0.0,False,untrained,trial_id_000012
18,True,hard mission Falcon,40.51088155827658,5.2,8.0,1.6993166666666666,0.0,0.0,False,untrained,trial_id_000012
19,True,hard mission Falcon,39.15500396541888,5.2,8.0,1.7917,0.0,0.0,False,untrained,trial_id_000012
20,True,hard mission Falcon,36.284750634943194,5.2,8.0,1.8412333333333333,0.0,0.0,False,untrained,trial_id_000012
21,True,hard mission Falcon,35.061769611734015,5.2,8.0,1.9111166666666666,0.0,0.0,False,untrained,trial_id_000012
22,True,hard mission Falcon,34.48750570123168,5.2,8.0,1.97585,0.0,2.0,False,untrained,trial_id_000012
23,True,hard mission Falcon,33.14927332491269,5.2,8.0,2.0610166666666667,0.0,0.0,False,untrained,trial_id_000012
24,True,hard mission Falcon,29.421450024198858,5.2,8.0,2.1290666666666667,2.0,1.0,False,untrained,trial_id_000012
25,True,hard mission Falcon,11.09318425983538,5.2,8.0,2.2039833333333334,0.0,0.0,True,untrained,trial_id_000012
26,True,hard mission Falcon,9.362375780202004,5.2,8.0,2.2227333333333332,1.0,0.0,False,untrained,trial_id_000012
27,True,hard mission Falcon,9.781395516015577,5.2,8.0,2.2567666666666666,0.0,0.0,True,untrained,trial_id_000012
28,True,hard mission Falcon,3.4319239445111984,5.2,8.0,2.297616666666667,1.0,1.0,False,untrained,trial_id_000012
29,True,hard mission Falcon,1.582446447709754,5.2,7.0,2.56335,1.0,1.0,False,untrained,trial_id_000012
30,True,hard mission Falcon,36.82619469888651,5.2,7.0,2.5837833333333333,0.0,0.0,False,untrained,trial_id_000012
31,True,hard mission Falcon,36.37110525139279,5.2,7.0,2.6282,0.0,0.0,False,untrained,trial_id_000012
32,True,hard mission Falcon,35.05438210680113,5.2,7.0,2.6931333333333334,0.0,0.0,False,untrained,trial_id_000012
33,True,hard mission Falcon,31.17956053994083,5.2,7.0,2.7784333333333335,0.0,0.0,False,untrained,trial_id_000012
34,True,hard mission Falcon,25.599761010490102,5.2,7.0,2.83975,0.0,2.0,False,untrained,trial_id_000012
35,True,hard mission Falcon,26.03863149556287,5.2,7.0,3.0185333333333335,0.0,0.0,False,untrained,trial_id_000012
36,True,hard mission Falcon,16.80078937672262,5.2,7.0,3.0764,0.0,0.0,False,untrained,trial_id_000012
37,True,hard mission Falcon,17.285219843828862,5.2,7.0,3.2294833333333335,0.0,0.0,False,untrained,trial_id_000012
38,True,hard mission Falcon,11.251105927491691,5.2,7.0,3.2686,0.0,0.0,True,untrained,trial_id_000012
39,True,hard mission Falcon,6.772961003543536,5.2,7.0,3.300883333333333,1.0,2.0,False,untrained,trial_id_000012
40,True,hard mission Falcon,2.395463510960576,5.2,6.0,3.6173,1.0,2.0,False,untrained,trial_id_000012
41,True,hard mission Falcon,42.824417739768364,5.2,6.0,3.68365,0.0,0.0,False,untrained,trial_id_000012
42,True,hard mission Falcon,34.59788035885868,5.2,6.0,3.7399333333333336,0.0,0.0,False,untrained,trial_id_000012
43,True,hard mission Falcon,34.227371432510864,5.2,6.0,3.8080333333333334,0.0,0.0,False,untrained,trial_id_000012
44,True,hard mission Falcon,26.024869308181145,5.2,6.0,3.8593333333333333,0.0,1.0,False,untrained,trial_id_000012
45,True,hard mission Falcon,25.51464112111207,5.2,6.0,3.9316166666666668,0.0,0.0,False,untrained,trial_id_000012
46,True,hard mission Falcon,17.46444564075918,5.2,6.0,3.9898,0.0,1.0,False,untrained,trial_id_000012
47,True,hard mission Falcon,17.147846192632496,5.2,6.0,4.058066666666667,0.0,0.0,False,untrained,trial_id_000012
48,True,hard mission Falcon,10.515353973388589,5.2,6.0,4.10925,0.0,0.0,False,untrained,trial_id_000012
49,True,hard mission Falcon,9.419806076088081,5.2,6.0,4.175966666666667,0.0,0.0,True,untrained,trial_id_000012
50,True,hard mission Falcon,6.825096739192744,5.2,6.0,4.19655,1.0,2.0,False,untrained,trial_id_000012
51,True,hard mission Falcon,2.0039134443853563,5.2,5.0,4.49765,1.0,2.0,False,untrained,trial_id_000012
52,False,hard mission Falcon,0.7696209740577645,5.2,5.0,4.64055,1.0,2.0,False,untrained,trial_id_000012
53,False,hard mission Falcon,2.7738821647877914,5.2,5.0,4.798683333333333,1.0,2.0,False,untrained,trial_id_000012
54,False,hard mission Falcon,11.069441710607512,5.2,5.0,4.854783333333334,0.0,0.0,False,untrained,trial_id_000012
55,False,hard mission Falcon,11.147962172869613,5.2,5.0,4.93985,0.0,0.0,False,untrained,trial_id_000012
56,False,hard mission Falcon,21.72465251063232,5.2,5.0,5.0095833333333335,0.0,0.0,False,untrained,trial_id_000012
57,False,hard mission Falcon,21.439475252972418,5.2,5.0,5.0793333333333335,0.0,0.0,False,untrained,trial_id_000012
58,False,hard mission Falcon,11.06608642238813,5.2,5.0,5.13715,0.0,0.0,False,untrained,trial_id_000012
59,False,hard mission Falcon,6.728695731339887,5.2,5.0,5.167766666666667,0.0,0.0,False,untrained,trial_id_000012
60,False,hard mission Falcon,7.982651085335885,5.2,5.0,5.228983333333334,0.0,0.0,False,untrained,trial_id_000012
61,False,hard mission Falcon,8.0793796154631,5.2,5.0,5.274983333333333,0.0,1.0,False,untrained,trial_id_000012
62,False,hard mission Falcon,2.0272711181432697,5.2,5.0,5.4477,0.0,1.0,False,untrained,trial_id_000012
63,False,hard mission Falcon,4.103048724284464,5.2,5.0,5.503983333333333,0.0,0.0,False,untrained,trial_id_000012
64,False,hard mission Falcon,6.720396258472952,5.2,5.0,5.5517666666666665,0.0,1.0,False,untrained,trial_id_000012
65,False,hard mission Falcon,2.6462064084335033,5.2,5.0,5.7423166666666665,0.0,1.0,False,untrained,trial_id_000012
66,False,hard mission Falcon,16.07785292192174,5.2,5.0,5.807016666666667,0.0,0.0,False,untrained,trial_id_000012
67,False,hard mission Falcon,7.846445789349087,5.2,5.0,5.859733333333334,0.0,0.0,False,untrained,trial_id_000012
68,False,hard mission Falcon,9.117516887976054,5.2,5.0,5.927816666666667,0.0,0.0,True,untrained,trial_id_000012
69,False,hard mission Falcon,6.725567812770179,5.2,5.0,5.9789,1.0,2.0,False,untrained,trial_id_000012
70,False,hard mission Falcon,2.349682025215275,5.2,5.0,6.127,1.0,2.0,False,untrained,trial_id_000012
71,False,hard mission Falcon,1.8994331306872596,5.2,5.0,6.278433333333333,1.0,2.0,False,untrained,trial_id_000012
72,False,hard mission Falcon,19.838713650169552,5.2,5.0,6.337983333333334,0.0,0.0,False,untrained,trial_id_000012
73,False,hard mission Falcon,15.968833441171846,5.2,5.0,6.3652,0.0,0.0,False,untrained,trial_id_000012
74,False,hard mission Falcon,1.6293969136994364,5.2,5.0,6.4707333333333334,0.0,2.0,False,untrained,trial_id_000012
75,False,hard mission Falcon,4.312555516059482,5.2,5.0,6.644333333333333,0.0,2.0,False,untrained,trial_id_000012
76,False,hard mission Falcon,4.34670774012121,5.2,5.0,6.807883333333334,0.0,2.0,False,untrained,trial_id_000012
