,next_victim_is_yellow,condition_within_Ss,next_victim_triaged_distance,sat_tendency,remain_yellow_victim,time_elapsed_minutes,cur_room_yellow_victims,cur_room_green_victims,next_room_has_yellow_victim,condition_between_Ss,trial_id
41,False,hard mission Falcon,15.049042666929711,4.4,2.0,4.9393666666666665,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
42,False,hard mission Falcon,11.012292916204002,4.4,2.0,4.959766666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
43,False,hard mission Falcon,4.847076113584777,4.4,2.0,5.010766666666667,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
44,False,hard mission Falcon,3.2424595525401716,4.4,2.0,5.141566666666667,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
45,False,hard mission Falcon,25.288992967493492,4.4,2.0,5.182433333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
46,False,hard mission Falcon,16.932951046773752,4.4,2.0,5.218116666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
47,False,hard mission Falcon,12.746951263270674,4.4,2.0,5.231683333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
48,False,hard mission Falcon,12.687783706582952,4.4,2.0,5.2589,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
49,False,hard mission Falcon,5.927661481777675,4.4,2.0,5.347316666666667,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
50,False,hard mission Falcon,1.4222659681504763,4.4,2.0,5.496966666666666,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
51,False,hard mission Falcon,7.764868472249168,4.4,2.0,5.53785,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
52,False,hard mission Falcon,6.2383326241842605,4.4,2.0,5.580383333333334,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
53,False,hard mission Falcon,6.949217887085964,4.4,2.0,5.638216666666667,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
54,False,hard mission Falcon,3.2705971336529074,4.4,2.0,5.816866666666667,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
55,False,hard mission Falcon,14.67901921836178,4.4,2.0,5.857916666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
56,False,hard mission Falcon,11.018898380608366,4.4,2.0,5.897083333333334,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
57,False,hard mission Falcon,1.7086846297865448,4.4,2.0,6.0670166666666665,0.0,1.0,False,trained about triage tradeoff,trial_id_000011
58,False,hard mission Falcon,25.848647692331014,4.4,2.0,6.133266666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
