,next_victim_is_yellow,condition_within_Ss,next_victim_triaged_distance,sat_tendency,remain_yellow_victim,time_elapsed_minutes,cur_room_yellow_victims,cur_room_green_victims,next_room_has_yellow_victim,condition_between_Ss,trial_id
0,True,hard mission Falcon,26.344587911149944,5.4,11.0,-5.677366666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
1,True,hard mission Falcon,18.828170383762732,5.4,11.0,0.0017,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
2,True,hard mission Falcon,8.430590432984971,5.4,11.0,0.048766666666666666,1.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
3,True,hard mission Falcon,2.5280093542909996,5.4,10.0,0.32415,1.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
4,True,hard mission Falcon,12.342740627782876,5.4,10.0,0.37016666666666664,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
5,True,hard mission Falcon,12.445882071438339,5.4,10.0,0.3838,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
6,True,hard mission Falcon,3.6279065511283655,5.4,10.0,0.4230833333333333,1.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
7,True,hard mission Falcon,3.50902846952673,5.4,9.0,0.68235,1.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
8,False,hard mission Falcon,3.4090289611236004,5.4,9.0,0.8492,1.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
9,True,hard mission Falcon,43.046641874120645,5.4,9.0,0.8815833333333334,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
10,True,hard mission Falcon,39.420820608427775,5.4,9.0,1.0981666666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
11,True,hard mission Falcon,38.46432491303326,5.4,9.0,1.1730833333333333,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
12,True,hard mission Falcon,37.096596174950676,5.4,9.0,1.1884333333333332,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
13,True,hard mission Falcon,30.60007721390674,5.4,9.0,1.33365,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
14,True,hard mission Falcon,9.982164131831743,5.4,9.0,1.4025,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
15,True,hard mission Falcon,5.904867833090226,5.4,9.0,1.45235,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
16,True,hard mission Falcon,1.9355477271718216,5.4,8.0,1.7148,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
17,True,hard mission Falcon,2.4964503765976285,5.4,7.0,2.0416166666666666,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
18,True,hard mission Falcon,24.11572952082136,5.4,7.0,2.0944166666666666,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
19,True,hard mission Falcon,25.96633412396591,5.4,7.0,2.1149,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
20,True,hard mission Falcon,26.805077759604192,5.4,7.0,2.16775,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
21,True,hard mission Falcon,26.20878476822013,5.4,7.0,2.2034833333333332,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
22,True,hard mission Falcon,14.025230183388459,5.4,7.0,2.3007166666666667,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
23,True,hard mission Falcon,7.881837920209258,5.4,7.0,2.39775,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
24,True,hard mission Falcon,2.4225608346721104,5.4,6.0,2.6649833333333333,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
25,True,hard mission Falcon,27.70886218534872,5.4,6.0,2.77605,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
26,True,hard mission Falcon,23.148382680991446,5.4,6.0,2.8291833333333334,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
27,True,hard mission Falcon,6.908854662093385,5.4,6.0,2.9488166666666666,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
28,True,hard mission Falcon,2.6666109923404995,5.4,5.0,3.2453333333333334,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
29,True,hard mission Falcon,30.079196207141262,5.4,5.0,3.32025,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
30,True,hard mission Falcon,6.6234967344242515,5.4,5.0,3.5092333333333334,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
31,True,hard mission Falcon,2.0880711947924873,5.4,4.0,3.816333333333333,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
32,False,hard mission Falcon,19.74090157415209,5.4,4.0,3.886066666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
33,False,hard mission Falcon,16.292736915377873,5.4,4.0,3.915,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
34,False,hard mission Falcon,7.999419287510111,5.4,4.0,4.032583333333333,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
35,False,hard mission Falcon,7.523209976586367,5.4,4.0,4.218516666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
36,False,hard mission Falcon,1.7191794344163795,5.4,4.0,4.28155,0.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
37,False,hard mission Falcon,3.997449659754806,5.4,4.0,4.465366666666666,0.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
38,False,hard mission Falcon,4.347997483638284,5.4,4.0,4.6509,0.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
39,False,hard mission Falcon,36.05074823180101,5.4,4.0,4.717366666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
40,False,hard mission Falcon,28.38453622240056,5.4,4.0,4.794016666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
41,False,hard mission Falcon,6.67356306965916,5.4,4.0,4.906366666666667,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
42,False,hard mission Falcon,2.168974345406185,5.4,4.0,5.0733,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
43,False,hard mission Falcon,14.543956249290812,5.4,4.0,5.143183333333333,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
44,False,hard mission Falcon,10.779694372953994,5.4,4.0,5.178916666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
45,False,hard mission Falcon,6.728134020348008,5.4,4.0,5.202816666666667,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
46,False,hard mission Falcon,2.5737555437510062,5.4,4.0,5.376483333333334,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
47,False,hard mission Falcon,2.2260285643276774,5.4,4.0,5.547016666666667,2.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
48,False,hard mission Falcon,17.4376617834726,5.4,4.0,5.58965,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
49,False,hard mission Falcon,15.70875476038184,5.4,4.0,5.613533333333334,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
50,False,hard mission Falcon,5.630984325139837,5.4,4.0,5.7328,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
51,False,hard mission Falcon,3.011920371018167,5.4,4.0,5.8877,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
52,False,hard mission Falcon,25.620354091638706,5.4,4.0,5.9422,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
53,False,hard mission Falcon,31.845572871837618,5.4,4.0,6.015516666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
54,False,hard mission Falcon,31.923382194839597,5.4,4.0,6.073566666666666,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
55,False,hard mission Falcon,23.690688366486835,5.4,4.0,6.1230166666666666,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
56,False,hard mission Falcon,10.663957134666717,5.4,4.0,6.21495,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
57,False,hard mission Falcon,3.1748495251597775,5.4,4.0,6.37335,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
58,False,hard mission Falcon,9.803780982339752,5.4,4.0,6.485883333333334,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
59,False,hard mission Falcon,6.035866674803167,5.4,4.0,6.5288,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
60,False,hard mission Falcon,2.706901640596989,5.4,4.0,6.6776333333333335,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
61,False,hard mission Falcon,2.8117025484713056,5.4,4.0,6.8243,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
62,False,hard mission Falcon,28.53729273336427,5.4,4.0,6.89475,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
63,False,hard mission Falcon,17.624604685642975,5.4,4.0,6.983466666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
64,False,hard mission Falcon,7.991289823321133,5.4,4.0,7.0838833333333335,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
65,False,hard mission Falcon,1.0192108668192574,5.4,4.0,7.27275,0.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
66,False,hard mission Falcon,20.22759215431171,5.4,4.0,7.329,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
67,False,hard mission Falcon,10.38033576361169,5.4,4.0,7.422633333333334,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
68,False,hard mission Falcon,2.6703942228379893,5.4,4.0,7.58935,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
69,False,hard mission Falcon,2.450898822585137,5.4,4.0,7.737383333333334,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
70,False,hard mission Falcon,34.05500587797204,5.4,4.0,7.7935,0.0,0.0,True,trained about signal & triage tradeoff,trial_id_000009
71,False,hard mission Falcon,6.8017123835247535,5.4,4.0,8.0524,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
72,False,hard mission Falcon,2.0030088515178464,5.4,4.0,8.217733333333333,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
73,False,hard mission Falcon,1.8878957048448426,5.4,4.0,8.367566666666667,1.0,2.0,False,trained about signal & triage tradeoff,trial_id_000009
74,False,hard mission Falcon,13.067792895362903,5.4,4.0,8.42705,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
75,False,hard mission Falcon,7.64068134705285,5.4,4.0,8.4509,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
76,False,hard mission Falcon,19.174163712876656,5.4,4.0,8.5615,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
77,False,hard mission Falcon,21.21107401180981,5.4,4.0,8.660233333333334,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
78,False,hard mission Falcon,21.28570390021028,5.4,4.0,8.692566666666666,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
79,False,hard mission Falcon,17.860808490842285,5.4,4.0,8.714683333333333,2.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
80,False,hard mission Falcon,2.189510782517482,5.4,4.0,9.1101,2.0,1.0,False,trained about signal & triage tradeoff,trial_id_000009
81,False,hard mission Falcon,,5.4,4.0,9.239466666666667,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
82,False,hard mission Falcon,,5.4,4.0,9.430333333333333,0.0,0.0,False,trained about signal & triage tradeoff,trial_id_000009
